"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"28.09.2022","5,3745","5,3814","5,4236","5,3226","215,45K","-0,15%"
"27.09.2022","5,3824","5,3910","5,3954","5,2963","240,28K","-0,14%"
"26.09.2022","5,3898","5,2603","5,4174","5,2603","198,86K","2,48%"
"23.09.2022","5,2595","5,1173","5,2693","5,1164","188,07K","2,79%"
"22.09.2022","5,1166","5,1728","5,1859","5,1055","194,13K","-1,06%"
"21.09.2022","5,1716","5,1430","5,1940","5,1188","195,92K","0,58%"
"20.09.2022","5,1417","5,1705","5,2240","5,1406","162,36K","-0,49%"
"19.09.2022","5,1670","5,2544","5,3029","5,1420","126,67K","-1,64%"
"16.09.2022","5,2531","5,2462","5,3105","5,2462","169,32K","0,12%"
"15.09.2022","5,2470","5,1644","5,2502","5,1641","135,04K","1,63%"
"14.09.2022","5,1631","5,1922","5,1986","5,1495","136,73K","-0,54%"
"13.09.2022","5,1911","5,0918","5,2092","5,0766","177,68K","1,93%"
"12.09.2022","5,0930","5,1477","5,1477","5,0834","126,68K","-1,03%"
"09.09.2022","5,1462","5,2143","5,2146","5,1378","151,12K","-1,30%"
"08.09.2022","5,2141","5,2483","5,2523","5,1783","195,76K","-0,65%"
"07.09.2022","5,2480","5,2507","5,2507","5,2483","34,56K","-0,09%"
"06.09.2022","5,2528","5,1547","5,2539","5,1532","134,86K","1,96%"
"05.09.2022","5,1516","5,1660","5,1905","5,1495","93,71K","-0,32%"
"02.09.2022","5,1681","5,2422","5,2422","5,1575","153,53K","-1,40%"
"01.09.2022","5,2416","5,1833","5,2577","5,1462","169,57K","1,13%"
"31.08.2022","5,1831","5,1229","5,2122","5,1229","158,17K","1,19%"
"30.08.2022","5,1223","5,0285","5,1259","5,0076","161,49K","1,87%"
"29.08.2022","5,0282","5,0608","5,0917","5,0100","119,96K","-0,63%"
"26.08.2022","5,0601","5,1102","5,1175","5,0540","165,72K","-0,97%"
"25.08.2022","5,1099","5,1114","5,1437","5,0852","132,30K","-0,03%"
"24.08.2022","5,1114","5,1050","5,1244","5,0802","128,42K","0,15%"
"23.08.2022","5,1037","5,1576","5,1579","5,0700","131,87K","-1,04%"
"22.08.2022","5,1574","5,1706","5,2046","5,1498","123,06K","-0,24%"
"19.08.2022","5,1697","5,1694","5,2199","5,1648","132,82K","0,04%"
"18.08.2022","5,1674","5,1655","5,2074","5,1283","149,11K","0,06%"
