"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2023","4,9889","4,9875","4,9895","4,9875","0,06K","0,05%"
"28.04.2023","4,9865","4,9776","5,0200","4,9776","95,63K","0,19%"
"27.04.2023","4,9771","5,0445","5,0490","4,9693","103,94K","-1,32%"
"26.04.2023","5,0435","5,0542","5,0746","5,0353","103,21K","-0,12%"
"25.04.2023","5,0497","5,0348","5,0845","5,0294","109,06K","0,32%"
"24.04.2023","5,0337","5,0481","5,0863","5,0339","92,51K","-0,30%"
"21.04.2023","5,0486","5,0493","5,0493","5,0489","12,15K","0,00%"
"20.04.2023","5,0486","5,0759","5,0864","5,0360","121,36K","-0,53%"
"19.04.2023","5,0753","4,9859","5,0895","4,9859","128,38K","1,83%"
"18.04.2023","4,9840","4,9415","4,9974","4,9097","123,52K","0,86%"
"17.04.2023","4,9413","4,9102","4,9573","4,8988","97,46K","0,65%"
"14.04.2023","4,9096","4,9279","4,9653","4,8922","124,95K","-0,36%"
"13.04.2023","4,9272","4,9190","4,9405","4,8927","100,96K","0,19%"
"12.04.2023","4,9181","5,0077","5,0108","4,9155","122,30K","-1,74%"
"11.04.2023","5,0054","5,0667","5,0675","4,9886","126,06K","-1,19%"
"10.04.2023","5,0655","5,0559","5,0938","5,0368","83,88K","0,21%"
"07.04.2023","5,0549","5,0599","5,0599","5,0559","0,14K","-0,04%"
"06.04.2023","5,0570","5,0345","5,0837","5,0342","121,42K","0,46%"
"05.04.2023","5,0340","5,0724","5,0778","5,0163","108,88K","-0,74%"
"04.04.2023","5,0716","5,0643","5,1002","5,0493","114,41K","0,17%"
"03.04.2023","5,0632","5,0637","5,0834","5,0382","131,65K","0,00%"
