"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.07.2021","5,2123","5,0773","5,2287","5,0754","89,74K","2,58%"
"29.07.2021","5,0812","5,1165","5,1165","5,0406","92,46K","-0,67%"
"28.07.2021","5,1157","5,1710","5,1926","5,1040","112,11K","-1,03%"
"27.07.2021","5,1690","5,1769","5,2061","5,1486","92,09K","-0,14%"
"26.07.2021","5,1761","5,2051","5,2304","5,1516","68,85K","-0,47%"
"23.07.2021","5,2006","5,1858","5,2332","5,1583","97,04K","0,01%"
"22.07.2021","5,2003","5,1887","5,2249","5,1670","98,02K","0,25%"
"21.07.2021","5,1874","5,2413","5,2782","5,1806","97,75K","-0,63%"
"20.07.2021","5,2205","5,2526","5,2950","5,2017","102,82K","-0,60%"
"19.07.2021","5,2519","5,1185","5,2591","5,1185","121,33K","2,68%"
"16.07.2021","5,1147","5,1129","5,1281","5,0742","100,78K","0,09%"
"15.07.2021","5,1100","5,0715","5,1389","5,0530","102,67K","0,78%"
"14.07.2021","5,0706","5,1638","5,1656","5,0666","98,52K","-1,77%"
"13.07.2021","5,1622","5,1747","5,2232","5,1479","97,98K","-0,21%"
"12.07.2021","5,1730","5,2586","5,2850","5,1630","78,48K","-1,65%"
"09.07.2021","5,2597","5,2597","5,2597","5,2597","","0,03%"
"08.07.2021","5,2579","5,2315","5,3145","5,2186","108,74K","0,50%"
"07.07.2021","5,2315","5,1969","5,2815","5,1696","99,80K","0,67%"
"06.07.2021","5,1969","5,0968","5,2175","5,0753","89,93K","2,08%"
"05.07.2021","5,0910","5,0551","5,1007","5,0459","58,17K","0,66%"
"02.07.2021","5,0575","5,0507","5,0745","4,9875","79,12K","0,20%"
"01.07.2021","5,0476","4,9705","5,0557","4,9467","96,93K","1,59%"
"30.06.2021","4,9686","4,9566","5,0241","4,9527","82,78K","0,26%"
"29.06.2021","4,9559","4,9325","4,9714","4,9209","69,87K","0,64%"
"28.06.2021","4,9244","4,9307","4,9724","4,9171","75,97K","-0,18%"
"25.06.2021","4,9335","4,9143","4,9750","4,8929","78,08K","0,40%"
"24.06.2021","4,9137","4,9671","4,9720","4,8977","80,80K","-1,07%"
"23.06.2021","4,9667","4,9577","4,9802","4,9373","87,44K","0,19%"
"22.06.2021","4,9574","5,0143","5,0459","4,9569","79,06K","-1,11%"
"21.06.2021","5,0130","5,0753","5,0824","5,0129","75,28K","-1,50%"
"18.06.2021","5,0894","5,0077","5,1100","4,9815","173,66K","1,67%"
"17.06.2021","5,0059","5,0587","5,0760","5,0068","145,85K","-0,96%"
"16.06.2021","5,0545","5,0436","5,0821","4,9921","157,86K","0,21%"
"15.06.2021","5,0437","5,0601","5,1052","5,0378","115,38K","-0,32%"
"14.06.2021","5,0601","5,1153","5,1190","5,0539","90,90K","-1,11%"
"11.06.2021","5,1171","5,0590","5,1395","5,0530","109,84K","1,22%"
"10.06.2021","5,0552","5,0650","5,0922","5,0323","128,46K","-0,14%"
"09.06.2021","5,0621","5,0363","5,0863","5,0181","112,00K","0,59%"
"08.06.2021","5,0325","5,0468","5,0689","5,0205","101,33K","-0,25%"
"07.06.2021","5,0451","5,0466","5,0703","5,0172","101,83K","-0,09%"
"04.06.2021","5,0495","5,1135","5,1154","5,0320","111,35K","-0,55%"
"03.06.2021","5,0775","5,0786","5,0786","5,0780","0,02K","0,04%"
"02.06.2021","5,0754","5,1515","5,1754","5,0671","114,79K","-1,47%"
"01.06.2021","5,1509","5,2210","5,2212","5,1399","103,78K","-1,27%"
"31.05.2021","5,2172","5,2228","5,2632","5,1982","69,48K","-0,14%"
"28.05.2021","5,2244","5,2400","5,2664","5,2088","50,56K","-0,27%"
"27.05.2021","5,2383","5,3120","5,3133","5,2346","130,09K","-1,38%"
"26.05.2021","5,3115","5,3289","5,3435","5,2867","99,80K","-0,37%"
"25.05.2021","5,3312","5,3204","5,3474","5,2941","110,56K","0,26%"
"24.05.2021","5,3175","5,3664","5,3746","5,3095","94,87K","-0,82%"
"21.05.2021","5,3617","5,2843","5,3710","5,2703","117,38K","1,50%"
"20.05.2021","5,2825","5,3098","5,3109","5,2698","113,45K","-0,51%"
